ISIN,reason
AU000000ABC7,no_carbon_data
AU000000ALL7,no_carbon_data
AU000000AMP6,no_carbon_data
AU000000ANN9,no_carbon_data
AU000000BOQ8,no_carbon_data
AU000000BPT9,no_carbon_data
AU000000CGF5,no_carbon_data
AU000000COH5,no_carbon_data
AU000000CPU5,no_carbon_data
AU000000CQR9,no_carbon_data
AU000000CSL8,no_carbon_data
AU000000ELD6,no_carbon_data
AU000000FLT9,no_carbon_data
AU000000GMG2,no_carbon_data
AU000000HIL8,no_carbon_data
AU000000HVN7,no_carbon_data
AU000000IFL2,no_carbon_data
AU000000IGO4,no_carbon_data
AU000000ILU1,no_carbon_data
AU000000IRE2,no_carbon_data
AU000000IVC8,no_carbon_data
AU000000JBH7,no_carbon_data
AU000000MAH3,no_carbon_data
AU000000MGX7,stale_prices | no_carbon_data
AU000000MND5,no_carbon_data
AU000000MTS0,no_carbon_data
AU000000NCM7,no_carbon_data
AU000000PPT9,no_carbon_data
AU000000RHC8,stale_prices | no_carbon_data
AU000000SBM8,no_carbon_data
AU000000SDG6,no_carbon_data
AU000000SEK6,no_carbon_data
AU000000SIG5,no_carbon_data
AU000000SWM4,no_carbon_data
AU000000SXL4,no_carbon_data
AU000000WES1,no_carbon_data
AU000000WOR2,no_carbon_data
AU0000032187,no_carbon_data
AU0000033359,no_carbon_data
BMG2108M2182,no_carbon_data
BMG2178K1009,no_carbon_data
BMG2624N1535,no_carbon_data
BMG4600H1198,no_carbon_data
BMG4639H1227,stale_prices | no_carbon_data
BMG507361001,no_carbon_data
BMG5320C1082,no_carbon_data
BMG668971101,no_carbon_data
BMG8063F1068,no_carbon_data
BMG8403G1033,no_carbon_data
BMG988031446,no_carbon_data
HK0000049939,no_carbon_data
HK0000055878,no_carbon_data
HK0000139300,no_carbon_data
HK0000592854,no_carbon_data
HK0000608585,no_carbon_data
HK0000745908,no_carbon_data
HK0002007356,no_carbon_data
HK0004000045,no_carbon_data
HK0006000050,no_carbon_data
HK0008011667,no_carbon_data
HK0014000126,no_carbon_data
HK0023000190,no_carbon_data
HK0083000502,no_carbon_data
HK0101000591,no_carbon_data
HK0144000764,no_carbon_data
HK0165000859,no_carbon_data
HK0242001243,no_carbon_data
HK0270001396,no_carbon_data
HK0291001490,no_carbon_data
HK0308001558,no_carbon_data
HK0363006039,no_carbon_data
HK0392044647,no_carbon_data
HK0440001847,no_carbon_data
HK0688002218,no_carbon_data
HK0836012952,no_carbon_data
HK2380027329,no_carbon_data
HK2388011192,no_carbon_data
JP3027670003,no_carbon_data
JP3039710003,no_carbon_data
JP3040890000,no_carbon_data
JP3102000001,no_carbon_data
JP3108600002,no_carbon_data
JP3111200006,no_carbon_data
JP3116000005,no_carbon_data
JP3122800000,no_carbon_data
JP3125800007,no_carbon_data
JP3126340003,no_carbon_data
JP3131400008,no_carbon_data
JP3131430005,no_carbon_data
JP3137200006,no_carbon_data
